book_id,goodreads_book_id,title,authors,average_rating,ratings_count_all_editions,text_reviews_count,image_url,small_image_url,popularity,avg_rating,p_rating_1,p_rating_2,p_rating_3,p_rating_4,p_rating_5
1,2767052,The Hunger Games,Suzanne Collins,4.34,4942365,155254,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,4942365,4.34,0.013498599,0.025885584,0.113324694,0.29971582,0.5475753
2,3,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",4.44,4800065,75867,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,4800065,4.44,0.015729787,0.021182213,0.09479538,0.24089631,0.6273963
3,41865,Twilight,Stephenie Meyer,3.57,3916824,95009,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,3916824,3.57,0.11646962,0.11151943,0.2025414,0.22341391,0.34605563
4,2657,To Kill a Mockingbird,Harper Lee,4.25,3340896,72586,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,3340896,4.25,0.018087065,0.035144765,0.13374706,0.29990518,0.51311594
5,4671,The Great Gatsby,F. Scott Fitzgerald,3.89,2773745,51992,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,2773745,3.89,0.031090098,0.071247,0.21853414,0.33745423,0.34167454
6,11870085,The Fault in Our Stars,John Green,4.26,2478609,140739,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,2478609,4.26,0.01936328,0.03740929,0.13215074,0.28179958,0.5292771
7,5907,The Hobbit or There and Back Again,J.R.R. Tolkien,4.25,2196809,37653,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,2196809,4.25,0.020949932,0.034952514,0.13139467,0.30300087,0.509702
8,5107,The Catcher in the Rye,J.D. Salinger,3.79,2120637,44920,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,2120637,3.79,0.051580258,0.087483145,0.21457797,0.31194213,0.3344165
9,960,Angels & Demons ,Dan Brown,3.85,2078754,25112,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,2078754,3.85,0.03744599,0.07010931,0.22053066,0.34471083,0.3272032
10,1885,Pride and Prejudice,Jane Austen,4.24,2191465,49152,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,2191465,4.24,0.024960471,0.039464466,0.12998246,0.2782408,0.5273518
11,77203,The Kite Runner ,Khaled Hosseini,4.26,1878095,59730,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,1878095,4.26,0.018256797,0.031936616,0.12036771,0.33447403,0.49496484
12,13335037,Divergent,Veronica Roth,4.24,2216814,101023,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,2216814,4.24,0.016381618,0.037382476,0.13997431,0.30360147,0.5026601
13,5470,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",4.14,2053394,45518,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,2053394,4.14,0.020378456,0.042088855,0.15821318,0.33701324,0.44230625
14,7613,Animal Farm: A Fairy Story,George Orwell,3.87,1982987,35472,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,1982987,3.87,0.033713788,0.06815325,0.21857531,0.352318,0.32723966
15,48855,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,2024493,20825,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,2024493,4.1,0.022338927,0.045082893,0.17572597,0.3244615,0.43239072
16,2429135,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",4.11,1929834,62543,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,1929834,4.11,0.028414361,0.044589847,0.1478951,0.3458769,0.43322378
17,6148028,Catching Fire,Suzanne Collins,4.3,1988079,88538,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,1988079,4.3,0.0052774563,0.024159,0.13179053,0.34567943,0.49309358
18,5,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1969375,36099,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,1969375,4.53,0.003410219,0.010365217,0.0843562,0.2586846,0.64318377
19,34, The Fellowship of the Ring,J.R.R. Tolkien,4.34,1832541,15333,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,1832541,4.34,0.02075315,0.030483356,0.11041062,0.26952848,0.5688244
20,7260188,Mockingjay,Suzanne Collins,4.03,1870748,96274,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,1870748,4.03,0.01611334,0.059066214,0.19941756,0.33049402,0.39490888
21,2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",4.46,1840548,28685,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,1840548,4.46,0.0051767193,0.017156303,0.09791106,0.26863033,0.6111256
22,12232938,The Lovely Bones,Alice Sebold,3.77,1661562,36642,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,1661562,3.77,0.03778192,0.07895462,0.2435654,0.35122073,0.28847736
23,15881,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",4.37,1906199,34172,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,1906199,4.37,0.0043295585,0.022165053,0.1271352,0.28762266,0.55874753
24,6,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",4.53,1868642,31084,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,1868642,4.53,0.003572648,0.010815341,0.08122744,0.26485866,0.63952595
25,136251,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",4.61,1847395,51942,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,1847395,4.61,0.005068218,0.01204128,0.061516892,0.20781371,0.7135599
26,968,The Da Vinci Code,Dan Brown,3.79,1557292,41560,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,1557292,3.79,0.0458135,0.08122626,0.218835,0.3462915,0.30783373
27,1,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",4.54,1785676,27520,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,1785676,4.54,0.0040925676,0.012049219,0.07634812,0.25706118,0.6504489
28,7624,Lord of the Flies ,William Golding,3.64,1671484,26886,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,1671484,3.64,0.055506963,0.09589981,0.25465274,0.33797273,0.25596774
29,18135,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,1672889,14778,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,1672889,3.73,0.034658607,0.09156555,0.27059355,0.3107331,0.29244918
30,8442457,Gone Girl,Gillian Flynn,4.03,1626519,121614,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,1626519,4.03,0.02390012,0.049680945,0.17235027,0.37874195,0.3753267
31,4667024,The Help,Kathryn Stockett,4.45,1603545,78204,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,1603545,4.45,0.006382733,0.01566342,0.084118,0.30604318,0.5877927
32,890,Of Mice and Men ,John Steinbeck,3.84,1518741,24642,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,1518741,3.84,0.030703062,0.072992034,0.23385751,0.35048175,0.31196564
33,930,Memoirs of a Geisha,Arthur Golden,4.08,1418172,25605,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1418172,4.08,0.016570628,0.04162612,0.18241793,0.36466452,0.39472082
34,10818853,Fifty Shades of Grey,E.L. James,3.67,1436818,75437,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,1436818,3.67,0.11515376,0.10599324,0.1755163,0.2052981,0.3980386
35,865,O Alquimista,"Paulo Coelho, Alan R. Clarke",3.82,1403995,55781,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,1403995,3.82,0.053309307,0.08804447,0.20594305,0.29357654,0.35912663
36,3636,The Giver,Lois Lowry,4.12,1345445,54084,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,1345445,4.12,0.019693855,0.04433626,0.16747321,0.3334889,0.43500775
37,100915,"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.19,1584884,15186,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,1584884,4.19,0.012183226,0.035044838,0.16533576,0.32391393,0.46352226
38,14050,The Time Traveler's Wife,Audrey Niffenegger,3.95,1308667,43382,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,1308667,3.95,0.033881042,0.0652794,0.19699816,0.32644668,0.3773947
39,13496,A Game of Thrones,George R.R. Martin,4.45,1442220,46205,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,1442220,4.45,0.013859189,0.020096103,0.079108596,0.28052795,0.6064082
40,19501,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,3.51,1206597,49714,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,1206597,3.51,0.08318685,0.12394279,0.25709662,0.2753123,0.26046145
41,28187,The Lightning Thief,Rick Riordan,4.23,1411114,46006,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,1411114,4.23,0.012970603,0.034224026,0.15564866,0.30863133,0.4885254
42,1934,Little Women,Louisa May Alcott,4.04,1314293,17090,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1314293,4.04,0.024077583,0.053268943,0.19082047,0.32434168,0.40749133
43,10210,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,1286135,31212,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,1286135,4.1,0.02731595,0.049974535,0.16506355,0.31117573,0.44647023
44,15931,The Notebook,Nicholas Sparks,4.06,1076749,17279,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,1076749,4.06,0.03844443,0.058910664,0.16389057,0.27699956,0.46175477
45,4214,Life of Pi,Yann Martel,3.88,1077431,42962,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,1077431,3.88,0.03691002,0.068989106,0.20298469,0.35655555,0.33456063
46,43641,Water for Elephants,Sara Gruen,4.07,1108839,55732,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,1108839,4.07,0.015065307,0.0449407,0.18050772,0.37636483,0.38312143
47,19063,The Book Thief,Markus Zusak,4.36,1287798,93611,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,1287798,4.36,0.013893483,0.027457722,0.10504132,0.29291704,0.5606904
48,4381,Fahrenheit 451,Ray Bradbury,3.97,1176240,30694,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,1176240,3.97,0.024115827,0.054656364,0.2025454,0.36241925,0.3562632
49,49041,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,1199000,44020,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,1199000,3.52,0.085768975,0.133995,0.24537697,0.24237865,0.2924804
50,30119,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,4.29,1023781,9234,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,1023781,4.29,0.016204638,0.030076744,0.13579467,0.28641087,0.5315131
51,256683,City of Bones,Cassandra Clare,4.12,1241799,51589,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,1241799,4.12,0.027477877,0.05262446,0.16384777,0.2867195,0.46933037
